id;start_date;end_date;language
1;2020-10-28T04:19:30;2020-10-28T02:09:45;SPANISH
2;2020-10-27T09:09:41;2020-10-28T04:14:06;SPANISH
3;2020-10-28T00:05:00;2020-10-27T10:39:09;FRENCH
4;2020-10-27T15:22:31;2020-10-28T02:53:57;FRENCH
5;2020-10-28T00:52:49;2020-10-28T05:39:48;FRENCH
6;2020-10-27T18:45:10;2020-10-28T06:53:24;FRENCH
7;2020-10-27T20:30:30;2020-10-27T14:21:21;FRENCH
8;2020-10-27T19:26:43;2020-10-28T05:42:51;SPANISH
9;2020-10-27T18:07:52;2020-10-27T14:49:15;SPANISH
10;2020-10-28T02:19:56;2020-10-27T12:54:26;SPANISH
